,0
639,125053
640,125201
641,125093
642,125191
643,125220
644,125130
645,125212
646,125203
647,125056
648,125160
649,125101
650,125181
651,125112
652,125083
653,125141
654,125032
655,125080
656,125250
657,125142
658,125240
659,125110
660,125204
661,125074
662,125190
663,125073
664,125072
665,125071
666,125211
667,125213
668,125180
669,125054
670,125055
671,125082
672,125060
673,125057
674,125013
675,125012
676,125260
677,170102
678,135319
679,511655
680,511856
681,925860
682,925882
683,253031
684,926212
685,926397
686,510633
687,510283
688,240025
689,784321
690,511666
691,510353
692,510419
693,510015
694,511694
695,511698
696,512042
697,511672
698,510084
699,510409
700,510410
701,510483
702,510408
703,510514
704,510902
705,510823
706,510418
707,511649
708,510970
709,511661
710,512102
711,512080
712,512081
713,511850
714,512095
715,511699
716,512089
717,511085
718,512100
719,510819
720,510972
721,510038
722,510039
723,510894
724,512075
725,512073
726,511680
727,510123
728,511671
729,512038
730,511816
731,511825
732,511648
733,512039
734,510904
735,510973
736,510818
737,511860
738,511802
739,510033
740,511831
741,510895
742,511690
743,511793
744,510417
745,511683
746,511659
747,511658
748,510124
749,511662
750,511664
751,511678
752,512040
753,510034
754,510125
755,511685
756,511681
757,511677
758,510083
759,511809
760,510825
761,511018
762,511684
763,510035
764,510017
765,512041
766,511818
767,511687
768,510037
769,511844
770,511084
771,511686
772,511822
773,510899
774,511815
775,512043
776,511663
777,511855
778,510016
779,925898
780,926425
781,925963
782,459647
783,925279
784,533001
785,925901
786,533002
787,926205
788,926193
789,926557
790,925542
791,926147
792,925998
793,926376
794,280113
795,926042
796,925747
797,203001
798,456504
799,926226
800,926578
801,925846
802,925700
803,926703
804,443001
805,523001
806,113214
807,323028
808,323085
809,323084
810,253003
811,413001
812,413007
813,393002
814,682010
815,393001
816,253002
817,203003
818,323030
819,323031
820,511196
821,926248
822,926017
823,925995
824,926282
825,453528
826,110089
827,110086
828,110076
829,110155
830,110074
831,926342
832,410039
833,910952
834,170172
835,170520
836,170389
837,171150
838,170532
839,170150
840,170148
841,171148
842,171125
843,171210
844,171118
845,171227
846,171240
847,170240
848,170020
849,171020
850,171022
851,170022
852,171061
853,171226
854,170226
855,170533
856,170182
857,170387
858,171387
859,171520
860,171342
861,170210
862,170163
863,170168
864,171168
865,171317
866,170317
867,171341
868,170341
869,171102
870,170382
871,171340
872,171382
873,170333
874,171333
875,171389
876,171108
877,170108
878,153341
879,925039
880,926524
881,710300
882,440049
883,440050
884,841002
885,641002
886,925534
887,413006
888,925568
889,925495
890,253033
891,925234
892,440074
893,440076
894,925332
895,513007
896,513004
897,510446
898,193297
899,193302
900,193301
901,193303
902,193298
903,167284
904,160284
905,200247
906,925746
907,167529
908,167285
909,160285
910,167374
911,160374
912,741000
913,641000
914,841000
915,925592
916,925682
917,925691
918,925595
919,925498
920,925663
921,925331
922,925510
923,925686
924,925693
925,925692
926,925666
927,925676
928,925668
929,925671
930,925664
931,925567
932,925503
933,925574
934,925661
935,925955
936,926668
937,926697
938,956518
939,926773
940,926714
941,926410
942,926181
943,490016
944,240004
945,340038
946,110263
947,420017
948,200241
949,240139
950,153814
951,330087
952,240130
953,110166
954,110264
955,926459
956,925588
957,925283
958,925273
959,925583
960,925252
961,925276
962,925694
963,926055
964,925653
965,925673
966,925269
967,925804
968,925274
969,925286
970,925690
971,925366
972,925665
973,925766
974,925947
975,925854
976,925496
977,925590
978,925505
979,925655
980,925657
981,925523
982,925345
983,925654
984,925502
985,925685
986,925408
987,926033
988,170530
989,193143
990,60003
991,60017
992,60005
993,60004
994,60002
995,60007
996,925738
997,925607
998,510010
999,926280
1000,180016
1001,180080
1002,926346
1003,926183
1004,913002
1005,913001
1006,913003
1007,170353
1008,173057
1009,925136
1010,925138
1011,179087
1012,179007
